transaction ID,date,item ID,category,subcategory,brand,unit price,best price,quantity,discount,total,store name,customer ID,payment type,gender,location
40a25423-d636-409b-b724-4bfb798d863f,2024-11-02,396816,Snacks,Chips,Cheetos,16.27,15.44,2,3.26,27.62,Flores-Merritt,28427,Cash,Female,Sydney
e4a1b81f-527c-428d-9f55-7bb3f9f28fe3,2024-12-19,284581,Dairy,Milk,Anchor,25.36,23.44,2,6.51,40.37,Newman-Martin,91658,Credit Card,Other,Sydney
0ba10188-3e59-4699-b1e7-b00d64f72122,2024-10-09,219619,Electronics,TVs,Samsung,21.37,20.6,5,1.51,101.49,"Quinn, Wade and Hall",65270,EFTPOS,Other,Melbourne
dcd87457-beb6-458d-925e-62b3fc963591,2024-10-24,363426,Snacks,Chips,Cheetos,22.0,19.89,4,11.35,68.21,"Smith, Eaton and Shaffer",74671,Online,Male,Sydney
262e41d2-7a91-477d-bcaa-4951884227ee,2024-04-25,595988,Electronics,TVs,Samsung,5.78,4.76,1,0.54,4.22,Skinner and Sons,70268,EFTPOS,Other,Sydney
7687184b-c77c-4a37-9dc6-aa8566016b22,2024-11-19,587321,Dairy,Cheese,Bega,19.85,16.2,3,8.91,39.69,"Clark, Washington and Gould",12340,Cash,Other,Brisbane
64e697c0-372f-4809-b71c-a6a2e468fa77,2024-12-20,342182,Beverages,Soda,Coca-Cola,23.45,22.9,2,0.12,45.68,Bond-Thompson,58978,EFTPOS,Male,Brisbane
7578bc1b-e6ae-49dc-b371-26e8ee169342,2024-04-09,725683,Beverages,Soda,Nestle,16.9,14.63,5,11.93,61.22,White LLC,47190,EFTPOS,Male,Melbourne
696d64bb-4468-4fd1-b50a-3948c06780ba,2024-12-20,234494,Beverages,Water,Lipton,33.24,31.87,4,17.58,109.9,Vargas-Ross,99434,Online,Female,Melbourne
3fa975ca-238e-480a-8655-0e2f8186681b,2024-10-20,316342,Electronics,Phones,LG,14.13,12.42,1,2.01,10.41,"Jimenez, Cooper and Christensen",59898,EFTPOS,Other,Brisbane
626f5933-4b44-49af-92ec-573387d897ac,2024-09-30,437204,Snacks,Popcorn,Doritos,21.61,21.47,4,7.05,78.83,Stanley-Heath,32627,EFTPOS,Other,Perth
9a7e60ff-f52a-4989-a3b3-bb112799663c,2025-01-14,429935,Electronics,Phones,Samsung,18.89,15.23,2,0.43,30.03,Ruiz-Henson,72805,Credit Card,Other,Brisbane
0db322f4-3df1-4089-99a8-0fd8635c2726,2024-07-07,115973,Electronics,Laptops,Samsung,12.58,12.48,3,6.66,30.78,Nicholson Ltd,33011,Cash,Male,Melbourne
d162ce86-c4e2-4001-adf0-cd05b244c45e,2024-06-07,639326,Beverages,Water,Nestle,18.87,18.8,3,9.54,46.86,Wood Group,91450,Online,Female,Perth
d5f9697c-6453-4ab8-b15b-19ad7ad60b72,2024-08-15,444394,Dairy,Cheese,Danone,25.27,22.69,2,8.54,36.84,"Henderson, Decker and Silva",43181,Credit Card,Male,Perth
3718ca01-076f-4875-bd14-b595bae6e37d,2024-08-29,472252,Electronics,Phones,Samsung,25.57,20.51,1,2.61,17.9,Alvarez and Sons,16411,Online,Female,Sydney
d7acc134-0e1a-491c-b270-7a2ab3740cb2,2024-08-21,812209,Beverages,Water,Lipton,23.95,23.78,5,13.39,105.51,Nicholson-Gonzales,22739,Credit Card,Male,Adelaide
43ba7ac8-f895-4af5-8aac-70b3d22dccbb,2024-06-19,872042,Beverages,Soda,Nestle,18.47,14.94,1,2.95,11.99,Johnson-Guerrero,33006,EFTPOS,Other,Sydney
ed23afbe-4e40-4e49-9dd5-a8a2b04a73de,2025-02-25,192241,Beverages,Soda,Lipton,23.41,21.49,3,5.44,59.03,Gonzalez-Brown,68131,Cash,Other,Brisbane
9ac755ab-77ed-4c08-8052-6a23961807b0,2025-01-03,834613,Electronics,TVs,Apple,15.33,12.91,3,6.67,32.06,"Fisher, Fisher and Murray",52465,EFTPOS,Female,Brisbane
84243bbc-efa5-4eba-925a-873c78f0a386,2025-02-27,807013,Electronics,Phones,Samsung,20.19,16.81,5,10.45,73.6,"Mckee, Evans and Jones",32062,Credit Card,Other,Perth
458a4519-f4a7-424c-b614-26aca067aa75,2024-08-27,909150,Beverages,Juice,Nestle,11.31,9.85,4,2.93,36.47,"Murray, Cunningham and Gillespie",95319,Online,Male,Brisbane
6910ac59-41d2-4bab-8722-42806a04246a,2024-05-07,883724,Dairy,Milk,Bega,25.69,24.72,4,16.62,82.26,Kim PLC,69333,Cash,Other,Brisbane
6cb5a9c0-9d4a-4f89-9666-f678cfc29f81,2025-02-16,895766,Snacks,Chips,Cheetos,19.03,17.48,2,2.98,31.98,Charles and Sons,83270,Cash,Male,Adelaide
1924f694-a463-4425-8a70-4133881cbd96,2024-11-07,998241,Snacks,Biscuits,Pringles,18.85,15.41,1,3.05,12.36,Rodriguez PLC,25357,Credit Card,Male,Sydney
61254bd9-3deb-4d90-b6d3-af2985d7c16e,2024-05-22,773832,Beverages,Water,Pepsi,19.48,17.02,1,1.58,15.44,Stewart and Sons,93586,Credit Card,Male,Perth
cb7004ec-d6be-4669-a35f-debf39aa584e,2024-12-31,701602,Beverages,Soda,Pepsi,18.81,18.14,4,1.8,70.76,Davis-Roberts,57353,EFTPOS,Other,Adelaide
d6b13ec0-1c7f-449a-9ae8-232c63e20921,2025-01-09,520549,Beverages,Water,Pepsi,13.87,11.65,2,1.01,22.29,"Pearson, Olson and English",78159,Credit Card,Other,Brisbane
c4393bfe-7206-4dfd-b0fc-dbeb7f534d55,2024-07-05,555487,Dairy,Yogurt,Anchor,20.51,18.07,1,1.93,16.14,Reeves Ltd,62956,EFTPOS,Female,Brisbane
2f6ee287-9d12-4324-9c06-daea122d0d87,2024-07-04,510921,Snacks,Popcorn,Pringles,17.98,14.68,1,2.72,11.96,"Hicks, Mcknight and Walker",50808,Credit Card,Male,Melbourne
c41244a6-f061-4041-94cb-e4836a322b46,2024-06-16,940025,Dairy,Cheese,Bega,23.46,18.95,5,18.38,76.37,"Gordon, Scott and Young",88131,EFTPOS,Female,Perth
eedd6f3f-3bdf-4d91-9319-13db44e8ad7e,2024-12-16,932580,Snacks,Popcorn,Pringles,14.91,12.59,2,0.83,24.35,Harris Ltd,54494,Online,Male,Perth
2d3cb725-a841-4f56-a301-ec75e2c81b04,2024-07-13,980214,Electronics,TVs,LG,18.79,15.48,1,0.97,14.51,Johnson Inc,12713,Cash,Female,Perth
cfb009aa-1693-429d-8d74-48a1856bed63,2024-09-16,746326,Electronics,Phones,LG,17.77,14.51,2,3.36,25.66,Peters-Ellis,10858,Cash,Other,Sydney
e241c569-d390-4733-b7d7-68ebea1adb41,2025-02-25,270117,Snacks,Popcorn,Doritos,6.93,5.97,1,0.77,5.2,Hamilton-Lowe,88651,Credit Card,Male,Perth
7a985186-7920-465b-90f8-e17221cec1b8,2024-06-04,476104,Snacks,Biscuits,Cheetos,24.36,23.14,4,17.59,74.97,Lane PLC,62972,Online,Male,Adelaide
52c69b0e-88f7-4e09-931a-44d53da231bf,2025-02-06,524348,Beverages,Juice,Nestle,24.19,22.09,4,9.31,79.05,Lloyd LLC,70901,Online,Other,Sydney
79dfb76c-952b-4ff4-8e48-fadb92250e0f,2025-03-11,845500,Electronics,Phones,Apple,20.0,16.45,1,0.47,15.98,"Solis, Harris and Perez",87579,Credit Card,Male,Sydney
6d39180c-bd5b-4924-a563-a58f9aaae750,2025-01-08,389232,Electronics,TVs,Sony,23.46,20.88,2,3.28,38.48,Hubbard-Preston,99446,Credit Card,Female,Perth
b72adda9-c614-41d2-8020-4077fd12e7cb,2024-11-12,299262,Dairy,Yogurt,Yoplait,17.12,14.23,4,0.56,56.36,Montgomery LLC,90528,EFTPOS,Other,Perth
0475ab0b-edc8-4328-a20d-5a1fe50a442c,2025-02-08,994014,Snacks,Popcorn,Lays,17.29,16.03,5,0.49,79.66,"Smith, Jenkins and Price",75073,Credit Card,Female,Adelaide
7ccdda99-7cb4-4927-92a4-9cfb41f444a7,2024-07-05,659700,Beverages,Water,Nestle,20.41,20.13,3,6.14,54.25,Medina LLC,25750,Online,Male,Brisbane
3b746656-7f3b-437b-9304-1083a973ac42,2024-11-12,845792,Snacks,Popcorn,Lays,18.61,15.55,3,9.17,37.48,Larsen-Hall,18253,EFTPOS,Other,Melbourne
e359f0d7-72ee-43e9-a443-c38feba68ae9,2024-08-19,172467,Beverages,Juice,Coca-Cola,16.21,14.83,3,5.96,38.53,"Miranda, Quinn and Morales",36124,Cash,Male,Brisbane
1c43b909-c9d2-4823-89c7-608f03674dc5,2024-11-23,476530,Dairy,Milk,Anchor,18.72,18.05,4,1.24,70.96,Hayes-Gonzalez,66712,Online,Female,Perth
4949e4eb-b83d-4106-9819-17ba8764d822,2025-02-20,523676,Beverages,Soda,Lipton,15.31,14.52,3,0.42,43.14,"Jackson, Ramirez and Hamilton",17865,EFTPOS,Female,Melbourne
9b426004-a5e0-4ff6-8439-2b76a80a1a06,2024-11-27,125027,Dairy,Cheese,Danone,13.45,12.65,1,2.21,10.44,"Jones, Underwood and Tate",48948,Credit Card,Male,Sydney
70e83cd9-e85e-4a9b-bba3-fa5cd3ce1b95,2025-03-25,931863,Snacks,Popcorn,Lays,18.15,14.72,3,1.43,42.73,"Bauer, Cobb and Gonzalez",93210,Online,Female,Perth
07056ba7-0997-4f9c-a974-06ceceddc161,2024-11-10,148856,Dairy,Yogurt,Anchor,15.67,12.64,1,1.85,10.79,"Palmer, Franklin and Neal",95015,Online,Other,Adelaide
140c190f-8698-44d7-8505-9aa32626c172,2024-12-02,285874,Dairy,Milk,Bega,26.11,21.7,1,2.75,18.95,Gibbs-Wallace,78302,Credit Card,Female,Perth
8258af7b-dbf5-4f5f-916e-1769993287d3,2024-11-22,933844,Snacks,Popcorn,Cheetos,12.31,10.37,4,6.36,35.12,"Murray, Ferguson and Anderson",41390,Online,Female,Melbourne
3856a980-13bb-422a-9397-7b9612ae0a31,2024-05-29,363136,Electronics,Phones,LG,17.66,15.78,1,1.83,13.95,Mitchell-Simmons,28429,Credit Card,Male,Brisbane
1b3f1a94-fbcb-4b61-9223-2e9c616328aa,2024-07-24,327763,Snacks,Popcorn,Cheetos,22.85,22.14,2,4.43,39.85,"Braun, Fuller and Harris",47687,EFTPOS,Female,Adelaide
83e685c6-f032-4996-81e7-f454ace4e2e1,2025-03-27,248217,Beverages,Water,Coca-Cola,21.74,21.21,2,2.81,39.61,Allen LLC,88190,Credit Card,Other,Perth
e97c1955-98a1-44f2-b764-151271569446,2024-04-28,252737,Dairy,Milk,Yoplait,16.53,15.77,1,2.24,13.53,Benitez-Smith,16148,EFTPOS,Other,Brisbane
fd0a287d-1a55-4a16-bdcd-067d30a105f6,2024-04-27,508045,Dairy,Yogurt,Anchor,13.38,11.97,4,7.25,40.63,Booth PLC,11610,Cash,Other,Adelaide
0e74c8e5-ea4d-4ac2-a35e-106a9a5b516d,2024-12-24,968767,Snacks,Popcorn,Cheetos,20.32,17.77,2,6.65,28.89,Pierce Ltd,27801,Credit Card,Male,Brisbane
c70eb825-ab89-429e-b0f4-2fa211f97606,2024-11-13,747109,Electronics,TVs,Sony,14.75,13.88,3,2.04,39.6,Graham Group,23472,Credit Card,Female,Perth
4049dcf0-9d44-49d8-b995-22e383ea454b,2024-07-23,908998,Beverages,Soda,Coca-Cola,21.58,20.62,1,3.19,17.43,Roach-Walsh,48228,Cash,Male,Sydney
