_id,product_id,date,price
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250401,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-04-01,70.73
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250406,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-04-06,67.79
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250411,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-04-11,65.23
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250416,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-04-16,66.35
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250421,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-04-21,67.96
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250426,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-04-26,65.31
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250501,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-05-01,71.76
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250506,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-05-06,68.87
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250511,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-05-11,68.01
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250516,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-05-16,68.96
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250521,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-05-21,67.19
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250526,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-05-26,68.53
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250531,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-05-31,67.51
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250605,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-06-05,69.6
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250610,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-06-10,68.3
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250615,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-06-15,70.59
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250620,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-06-20,69.77
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250625,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-06-25,67.58
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250630,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-06-30,70.25
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250705,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-07-05,69.83
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250710,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-07-10,71.12
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250715,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-07-15,65.66
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250720,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-07-20,65.61
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250725,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-07-25,71.66
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250730,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-07-30,65.81
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250804,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-08-04,66.25
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250809,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-08-09,67.28
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250814,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-08-14,66.33
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250819,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-08-19,67.82
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250824,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-08-24,66.21
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250829,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-08-29,67.04
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250903,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-09-03,67.59
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250908,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-09-08,68.98
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250913,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-09-13,71.25
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250918,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-09-18,65.89
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250923,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-09-23,69.28
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20250928,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-09-28,68.25
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251003,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-10-03,65.45
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251008,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-10-08,70.43
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251013,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-10-13,68.42
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251018,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-10-18,68.25
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251023,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-10-23,66.35
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251028,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-10-28,66.76
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251102,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-11-02,77.49
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251107,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-11-07,71.32
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251112,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-11-12,76.27
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251117,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-11-17,73.27
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251122,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-11-22,77.24
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251127,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-11-27,72.11
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251202,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-12-02,77.37
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251207,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-12-07,79.32
sim5d_1f59c631-ca0d-47d9-aac2-8da2dbc1f134_20251212,1f59c631-ca0d-47d9-aac2-8da2dbc1f134,2025-12-12,74.54
