user_id,pair_total_events,view_count,cart_count,past_purchase_count,session_count,pair_active_days,pair_avg_price,pair_price_std,price,category_id,last_event_hour,last_event_weekday,user_total_events,user_total_views,user_total_carts,user_total_purchases,user_unique_products,user_session_count,user_active_days,user_avg_price,product_total_events,product_total_views,product_total_carts,product_total_purchases,product_unique_users,product_session_count,product_avg_price,category_total_views,category_total_carts,category_total_purchases,category_unique_users,category_unique_products,brand_total_views,brand_total_carts,brand_total_purchases,brand_unique_users,snapshot_date,label,days_since_last_event,days_since_last_view,days_since_last_cart,days_since_last_purchase,days_since_first_event,user_days_since_last_event,product_days_since_last_event,pair_view_to_cart_rate,pair_cart_to_purchase_rate,user_cart_rate,user_purchase_rate,product_cart_rate,product_purchase_rate,category_purchase_rate,brand_purchase_rate,pair_share_of_user_views,pair_share_of_product_views,price_to_user_avg,price_to_product_avg,pair_events_per_active_day,product_code
561174161,9,7,0,2,6,5,185.27333,1.8859704,187.65,2053013555631882655,9,1,293,232,23,38,68,51,7,336.98593,9978,9515,308,155,4101,5261,184.15877,2408011,131326,75873,402244,1206,678335,22655,12591,139592,2019-10-29,0,0.58782405,0.58782405,8.0,5.567581,6.5521297,0.51753473,0.0012037037,0.0,2.0,0.098712444,0.16309012,0.03236654,0.016288357,0.031508565,0.018561598,0.030042918,0.0007356032,0.5568316,1.0189024,1.8,weet-bix bites apricot breakfast cereal_sanitarium_500g
561174161,8,7,0,1,3,3,170.715,0.23299102,170.14,2053013555631882655,10,7,293,232,23,38,68,51,7,336.98593,54381,46072,5334,2975,24510,29757,170.8035,2408011,131326,75873,402244,1206,1107056,75038,39644,274725,2019-10-29,1,1.5508333,1.5508333,8.0,4.6595254,6.532176,0.51753473,0.0036689814,0.0,1.0,0.098712444,0.16309012,0.1157728,0.06457144,0.031508565,0.035810262,0.030042918,0.0001519328,0.50487256,0.99605715,2.6666667,bush pepper cheddar cheese_ashgrove_140g
561174161,13,10,0,3,3,3,462.05,0.0,462.05,2053013555631882655,3,7,293,232,23,38,68,51,7,336.98593,5175,4834,220,121,3091,3459,463.5388,2408011,131326,75873,402244,1206,808647,48763,31407,215007,2019-10-29,0,1.86022,1.8621064,8.0,1.86022,4.507801,0.51753473,0.011817129,0.0,3.0,0.098712444,0.16309012,0.045501553,0.025025854,0.031508565,0.0388389,0.042918455,0.0020682523,1.3710847,0.9967667,4.3333335,b43 instant coffee refill pouch_nescafe_400g
561174161,17,13,1,3,9,4,195.38882,0.10385917,195.26,2053013555631882655,8,1,293,232,23,38,68,51,7,336.98593,26222,23527,1772,923,12544,14990,195.3828,2408011,131326,75873,402244,1206,1107056,75038,39644,274725,2019-10-29,1,0.6472338,0.6472338,0.8137847,0.81149304,5.7731366,0.51753473,0.0056597223,0.071428575,1.5,0.098712444,0.16309012,0.07531452,0.039229855,0.031508565,0.035810262,0.055793993,0.00055253314,0.5794135,0.9993203,4.25,eggs for everyone free range 12 pack_pace farm_700g
561174161,29,22,0,7,10,6,246.03413,1.0899407,243.75,2053013555631882655,9,1,293,232,23,38,68,51,7,336.98593,101577,87438,9203,4936,45153,55133,245.6235,2408011,131326,75873,402244,1206,1107056,75038,39644,274725,2019-10-29,1,0.60265046,0.60583335,8.0,0.60265046,6.6854515,0.51753473,0.0006597222,0.0,7.0,0.098712444,0.16309012,0.105250515,0.056450784,0.031508565,0.035810262,0.094420604,0.00025160398,0.7233025,0.9923321,4.8333335,a2 protein full cream milk_australia's own_1l
561174161,9,8,0,1,5,3,727.2089,2.972808,725.08,2053013555631882655,9,7,293,232,23,38,68,51,7,336.98593,51828,46020,3676,2132,24776,31533,730.39276,2408011,131326,75873,402244,1206,808647,48763,31407,215007,2019-10-29,1,1.5977199,1.5985069,8.0,1.5977199,4.6402082,0.51753473,0.0010763889,0.0,1.0,0.098712444,0.16309012,0.07987658,0.04632668,0.031508565,0.0388389,0.034334764,0.00017383369,2.1515987,0.99271256,3.0,100 percent orange mango juice_golden circle_2l
561174161,6,5,0,1,4,3,189.97,0.0,189.97,2053013555631882655,6,1,293,232,23,38,68,51,7,336.98593,37069,33536,2459,1074,15279,19469,189.97,2408011,131326,75873,402244,1206,678335,22655,12591,139592,2019-10-29,0,0.7163773,0.7163773,8.0,1.5205787,5.8110647,0.51753473,0.007604167,0.0,1.0,0.098712444,0.16309012,0.073322006,0.03202433,0.031508565,0.018561598,0.021459227,0.00014908907,0.563716,0.99994737,2.0,authentic greek yoghurt_procal_900g
561174161,10,6,1,3,4,4,282.033,2.1469429,278.93,2053013555631882655,6,1,293,232,23,38,68,51,7,336.98593,51173,44271,4613,2289,22167,26857,281.82654,2408011,131326,75873,402244,1206,1107056,75038,39644,274725,2019-10-29,0,0.7301389,0.7530787,0.73180556,0.7301389,6.6852894,0.51753473,0.0029976852,0.14285715,1.5,0.098712444,0.16309012,0.10419679,0.051703107,0.031508565,0.035810262,0.025751073,0.00013552584,0.8276954,0.9896871,2.5,gluten free tim tam original biscuits_arnott's_150g
561174161,7,5,1,1,3,3,141.05429,0.62436754,140.45,2053013555631882655,8,1,293,232,23,38,68,51,7,336.98593,33269,29284,2638,1347,15033,18279,141.0557,2408011,131326,75873,402244,1206,1107056,75038,39644,274725,2019-10-29,1,0.6389468,0.63989586,0.63984954,0.6389468,6.8055673,0.51753473,0.0010300926,0.16666667,0.5,0.098712444,0.16309012,0.09008025,0.045996245,0.031508565,0.035810262,0.021459227,0.00017073588,0.41677058,0.99563545,2.3333333,shapes cracker biscuits vegemite & cheese_arnott's_165g
561174161,21,16,3,2,11,6,131.23857,0.2671703,130.99,2053013555631882655,11,1,293,232,23,38,68,51,7,336.98593,110049,91022,12427,6600,47370,57738,131.20035,2408011,131326,75873,402244,1206,1107056,75038,39644,274725,2019-10-29,1,0.5284028,0.5284028,3.5405903,2.7218866,5.6879516,0.51753473,0.0021875,0.1764706,0.5,0.098712444,0.16309012,0.13652593,0.07250915,0.031508565,0.035810262,0.06866953,0.00017577974,0.38869905,0.99832076,3.5,country split white bread_buttercup_450g
