user_pseudo_id,sessions_count,avg_engagement_time_sec,pageviews_per_session,avg_percent_scrolled,compare_ratio,specials_ratio,mylists_ratio,category_browse_ratio,product_detail_ratio,unique_pages_visited,browsing_entropy,days_since_first_visit,days_since_last_activity
2083245087.1786072631,5,115.85560000000001,6.6,90,0.060606060606060608,0.12121212121212122,0.090909090909090912,0.15151515151515152,0.060606060606060608,14,0.94101508916323728,10,7
745677160.1778923493,3,8.8266666666666662,3.3333333333333335,90,0.2,0.1,0,0.3,0,6,0.85714285714285721,,1
63421355.1785622189,3,5.0643333333333329,2.3333333333333335,90,0,0,0,0.42857142857142855,0,4,0.75,,5
1342244251.1786274469,3,36.963333333333338,2.3333333333333335,90,0.2857142857142857,0.14285714285714285,0,0,0,3,0.75,8,1
558645196.1786412033,3,278.175,3.6666666666666665,90,0,0,0,0,0.27272727272727271,4,0.81481481481481488,6,5
1890463584.1786267198,2,38.6235,2,90,0,0,0,0,0,3,0.66666666666666674,8,5
2071636150.1785562216,2,329.9895,7,90,0.071428571428571425,0.071428571428571425,0,0.071428571428571425,0.14285714285714285,9,0.91666666666666663,,10
1347518242.1786267219,1,22.53,2,90,0,0,0,0,0,2,0,8,8
8906278.1785308285,1,12.654,3,90,0,0,0,0,0,3,0.5,,8
1048971991.1786276531,1,31.648,2,90,0,0,0,0,0,2,0,8,8
524010301.1786274483,1,27.038,2,90,0,0,0,0,0,2,0,8,8
643339106.1786092914,1,83.328,4,90,0,0,0,0,0,3,0.66666666666666674,10,10
214019233.1786098900,1,18.848,2,90,0,0,0,0,0,2,0,10,10
1401496308.1786080443,1,12.941,2,90,0,0,0,0,0,2,0,10,10
922983428.1786074047,1,12.342,2,90,0,0,0,0,0,2,0,10,10
972260543.1786092430,1,25.725,2,90,0,0,0,0,0,2,0,10,10
534193022.1786103255,1,201.747,9,90,0,0,0,0.33333333333333331,0,6,0.84375,10,10
2037581211.1786412047,1,27.804,2,90,0,0,0,0,0,2,0,6,6
155797821.1786410145,1,73.19,3,90,0,0,0,0,0,2,0.5,6,6
1031995816.1786185889,1,12.695,2,90,0,0,0,0,0,2,0,9,9
1359118516.1785303360,1,267.596,7,90,0,0,0,0.42857142857142855,0,4,0.75,,9
